gamma,delta_c,n_verified_agents,median,q1,q3,mean,sd,proportion_above_0_5
22.0,0.024999999999999967,60,0.37721791810865846,0.17184385650962503,0.6749762334914781,0.42658891692884876,0.27861110305733067,0.45
14.0,0.04999999999999996,60,0.5297516921955063,0.35809373270442435,0.6494973952938712,0.5107822977403139,0.1782826488315263,0.5666666666666667
15.0,0.04999999999999996,60,0.5318585293597691,0.32698300613551484,0.6704757221436763,0.5119331748850224,0.19686590986746244,0.55
16.0,0.04999999999999996,60,0.5300327379399572,0.31607002015019675,0.6836206322560905,0.5153442937313477,0.21273404872455737,0.55
17.0,0.04999999999999996,60,0.5394156685766811,0.3030784419985586,0.7072735226597744,0.5176483715911498,0.22750306768986572,0.55
18.0,0.04999999999999996,60,0.5420274386498696,0.28851405176442235,0.727298682971301,0.5189731897933683,0.2392135200429732,0.55
19.0,0.04999999999999996,60,0.5551057169117941,0.28231961297973324,0.7250122892073505,0.5190837581956315,0.25153278308841953,0.5833333333333334
20.0,0.04999999999999996,60,0.5428082248704881,0.2651077230321188,0.7352331818367368,0.515683868420059,0.2629011911006757,0.5666666666666667
21.0,0.04999999999999996,60,0.5505340835856287,0.24991576067053595,0.7491336526405158,0.5140793962803607,0.2761420733048646,0.5833333333333334
22.0,0.04999999999999996,60,0.5528730147436313,0.21513401849390773,0.7667285945562291,0.5183129267357522,0.2884114362202269,0.5833333333333334
14.0,0.07499999999999996,60,0.6322155703597467,0.4516297811435835,0.7143020478666918,0.5813200550903833,0.17656317228581694,0.7
15.0,0.07499999999999996,60,0.6393631313772823,0.4262301985000423,0.7242993956890966,0.5851954063536111,0.19137120782648268,0.7
16.0,0.07499999999999996,60,0.6501603296157026,0.42710342646124894,0.7489092879958872,0.5889450644687524,0.20611783089933836,0.7
17.0,0.07499999999999996,60,0.6485181203864601,0.42439262497556524,0.7710057093158816,0.5938847473887151,0.21855760622246462,0.6833333333333333
18.0,0.07499999999999996,60,0.6764789444198156,0.39658736089287777,0.7865531294527226,0.5963156594749556,0.23205148702322684,0.7
19.0,0.07499999999999996,60,0.6860372900239673,0.3864999764706364,0.7975013093811423,0.6010820965274265,0.24591550039630447,0.7
20.0,0.07499999999999996,60,0.7044997183636004,0.3846048719206449,0.808522112120831,0.6048952499635321,0.2602529885311551,0.7
21.0,0.07499999999999996,60,0.7104338229280611,0.3854380740356187,0.8226362510426812,0.6073467923450705,0.27147155022136826,0.7
22.0,0.07499999999999996,60,0.7202183569647755,0.37477141860824015,0.8309643837779059,0.6137460430038065,0.27913170277855104,0.6833333333333333
14.0,0.09999999999999995,60,0.6836130476976581,0.5628464090675089,0.7691896875031776,0.6423597550348727,0.16800603340337325,0.7666666666666667
15.0,0.09999999999999995,60,0.7037496155892102,0.565939477069101,0.7841057545960356,0.6532047920376964,0.17976716568914472,0.7833333333333333
16.0,0.09999999999999995,60,0.7106095602585534,0.5641783062790768,0.800353364506946,0.6591535463753596,0.19541882746569555,0.7833333333333333
17.0,0.09999999999999995,60,0.7295390662210754,0.5679742827317367,0.81835762044449,0.6694607418613405,0.2038536014528369,0.7833333333333333
18.0,0.09999999999999995,60,0.7523341121265381,0.5458114742703676,0.8361523661714575,0.6743217259325845,0.21705754509622102,0.8
19.0,0.09999999999999995,60,0.7753616221171673,0.5482308762466122,0.8506935010296933,0.6830569183716253,0.22545276600702413,0.8
20.0,0.09999999999999995,60,0.7911862854754468,0.5590466095464981,0.8631304464308589,0.6904912109889924,0.23445917812318345,0.7833333333333333
21.0,0.09999999999999995,60,0.8114499452237913,0.5625836927743453,0.883842783366627,0.6937641090062365,0.25204994076172066,0.7833333333333333
22.0,0.09999999999999995,60,0.8201148642777476,0.5399521297414396,0.8963671601499934,0.6917251545026658,0.2664116394777337,0.7666666666666667
14.0,0.12499999999999994,60,0.7429536249600615,0.6342176209820276,0.8076797062599836,0.7036015220399976,0.14995355580741965,0.8833333333333333
15.0,0.12499999999999994,60,0.7694623659032785,0.6498856209075431,0.8262398075136678,0.7123013691490151,0.1623292243517055,0.8666666666666667
