outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 17 psychological distress,0.32763968856519554,-0.07509387110351129,0.22532922618312556,0.07511767753980714,field,sampling_stratumScotland - Disadvantaged,0.07511767753980714,0.07663854522618287,0.9801553163373965,0.32763968856519554,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.10370127418247792,-0.202186371044999,0.018516230055583005,-0.091835070494708,field,sampling_stratumNorthern Ireland - Advantaged,-0.091835070494708,0.05630168395423011,-1.6311247558663504,0.10370127418247792,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.2201783877446071,-0.19704452665924482,0.04523615239222922,-0.0759041871335078,field,sampling_stratumNorthern Ireland - Disadvantaged,-0.0759041871335078,0.06180629567639644,-1.2280979842397395,0.2201783877446071,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,8.505968290899592e-32,-0.34531742747273875,-0.2542557330621962,-0.29978658026746746,field,field_index,-0.29978658026746746,0.023230024084322076,-12.905134285667538,8.505968290899592e-32,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.050232195616204366,9.552081258419609e-5,0.08729529687337527,,precision,(Intercept),0.04369540884297973,0.022244840831834457,1.9642940659052726,0.050232195616204366,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,2.6039803287714127e-34,0.16775037407764418,0.2245217994220011,0.19613608674982264,precision,baseline_distress_z,0.19613608674982264,0.014482506465397168,13.542965592209304,2.6039803287714127e-34,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.8936040798413966,-0.02757991155457142,0.02405415501824743,-0.001762878268161994,precision,baseline_age_z,-0.001762878268161994,0.013171955758372156,-0.1338357264859093,0.8936040798413966,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,2.844385892405533e-46,0.19185635993817407,0.24368822030766768,0.21777229012292088,precision,sex_z,0.21777229012292088,0.013222413359564693,16.469935117055694,2.844385892405533e-46,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.3208218214975266,-0.05302248939162276,0.017337134121656196,-0.017842677634983282,precision,income_quintile_z,-0.017842677634983282,0.017948883549305857,-0.99408286793823,0.3208218214975266,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.07437035896751878,-0.1468073509551076,0.00668369002622031,-0.07006183046444364,precision,sampling_stratumEngland - Disadvantaged,-0.07006183046444364,0.03915587780135916,-1.789305575522347,0.07437035896751878,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,2.1232402214675075e-7,-0.324908944983488,-0.14913911892874107,-0.23702403195611454,precision,sampling_stratumEngland - Ethnic,-0.23702403195611454,0.04483924134049667,-5.286084796935351,2.1232402214675075e-7,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.6761624885872536,-0.14768505484816327,0.09576224077315745,-0.025961407037502913,precision,sampling_stratumWales - Advantaged,-0.025961407037502913,0.062103901944214474,-0.41803181804620004,0.6761624885872536,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.9748938813855522,-0.10411072016140054,0.10751091846800225,0.0017000991533008562,precision,sampling_stratumWales - Disadvantaged,0.0017000991533008562,0.05398511189525581,0.03149200017589035,0.9748938813855522,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.099814462065803,-0.015997728192977706,0.1861799706221356,0.08509112121457894,precision,sampling_stratumScotland - Advantaged,0.08509112121457894,0.05157594357528401,1.6498218998237761,0.099814462065803,8371,Complete-case analysis on a common comparison sample
Age 17 psychological distress,0.2746983576183901,-0.0654615358885638,0.23082035125948314,0.08267940768545967,precision,sampling_stratumScotland - Disadvantaged,0.08267940768545967,0.07558211406837932,1.0939017610788104,0.2746983576183901,8371,Complete-case analysis on a common comparison sample
