outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,8264,Complete-case analysis,0.4028460484509856,-0.0789303219643933,0.19671196220935555,0.05889082012248113,mcs_family_conflict,sampling_stratumScotland - Disadvantaged,0.05889082012248113,0.07031690922799716,0.8375058114618233,0.4028460484509856
Age 17 psychological distress,8264,Complete-case analysis,0.09595974059437336,-0.2046611153720106,0.01641155704996071,-0.09412477916102494,mcs_family_conflict,sampling_stratumNorthern Ireland - Advantaged,-0.09412477916102494,0.05639608990356411,-1.6689947711264368,0.09595974059437336
Age 17 psychological distress,8264,Complete-case analysis,0.1366960468001871,-0.19861899636544675,0.02696471883565546,-0.08582713876489564,mcs_family_conflict,sampling_stratumNorthern Ireland - Disadvantaged,-0.08582713876489564,0.057546866122730155,-1.4914302819175622,0.1366960468001871
Age 17 psychological distress,8264,Complete-case analysis,7.097383391885497e-25,-0.3149288840082046,-0.22031079896483305,-0.26761984148651885,mcs_family_conflict,field_index,-0.26761984148651885,0.024137266592696834,-11.08741292054553,7.097383391885497e-25
Age 17 psychological distress,8264,Complete-case analysis,9.484603977898036e-10,-0.15644551841252768,-0.08201461910850373,-0.1192300687605157,mcs_family_conflict,family_conflict,-0.1192300687605157,0.018987474312251007,-6.279406455001055,9.484603977898036e-10
Age 17 psychological distress,8264,Complete-case analysis,0.11978272391814831,-0.005576569947726283,0.04897429970996072,0.02169886488111722,mcs_family_conflict,precision_index,0.02169886488111722,0.013916038177981378,1.559270289689935,0.11978272391814831
Age 17 psychological distress,8264,Complete-case analysis,0.6878677588072639,-0.038753121011935,0.058755534280308074,0.010001206634186537,mcs_family_conflict,field_index:family_conflict,0.010001206634186537,0.024874656962306906,0.4020641028071895,0.6878677588072639
Age 17 psychological distress,8264,Complete-case analysis,0.8253816997672555,-0.04359918852398062,0.03477116548638812,-0.00441401151879625,mcs_family_conflict,family_conflict:precision_index,-0.00441401151879625,0.019992437247543047,-0.22078406270044468,0.8253816997672555
Age 17 psychological distress,8314,Complete-case analysis,0.10354790790744613,-0.007091947170785123,0.07763821705206828,,mcs_sleep_risk,(Intercept),0.035273134940641576,0.0216148378119524,1.6318944998577098,0.10354790790744613
Age 17 psychological distress,8314,Complete-case analysis,2.082255108490321e-24,0.12688601386663453,0.18215859503965517,0.15452230445314485,mcs_sleep_risk,baseline_distress_z,0.15452230445314485,0.01410014825842363,10.958913454036274,2.082255108490321e-24
Age 17 psychological distress,8314,Complete-case analysis,0.7401066706092616,-0.028740368364397223,0.020415053415920724,-0.004162657474238251,mcs_sleep_risk,baseline_age_z,-0.004162657474238251,0.012539648413346415,-0.3319596640211842,0.7401066706092616
Age 17 psychological distress,8314,Complete-case analysis,1.6924583691946338e-43,0.1782278870580686,0.22861414003313815,0.20342101354560338,mcs_sleep_risk,sex_z,0.20342101354560338,0.012853635963027943,15.825951048459856,1.6924583691946338e-43
Age 17 psychological distress,8314,Complete-case analysis,0.8607862680817421,-0.0313881456854137,0.03756180053627766,0.0030868274254319842,mcs_sleep_risk,income_quintile_z,0.0030868274254319842,0.01758927199532943,0.1754948940610871,0.8607862680817421
Age 17 psychological distress,8314,Complete-case analysis,0.09281142208038191,-0.13358365614279338,0.010075101026151521,-0.061754277558320934,mcs_sleep_risk,sampling_stratumEngland - Disadvantaged,-0.061754277558320934,0.036647642134934925,-1.6850818759620205,0.09281142208038191
Age 17 psychological distress,8314,Complete-case analysis,0.0013257753920990526,-0.23464444546543642,-0.057585117945153724,-0.14611478170529507,mcs_sleep_risk,sampling_stratumEngland - Ethnic,-0.14611478170529507,0.04516819579599048,-3.2349040985663073,0.0013257753920990526
Age 17 psychological distress,8314,Complete-case analysis,0.760799777299835,-0.14072398476641143,0.10286198127938301,-0.018931001743514215,mcs_sleep_risk,sampling_stratumWales - Advantaged,-0.018931001743514215,0.06213927705249858,-0.30465436100134047,0.760799777299835
