outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.03242974866738055,0.28357813695940304,0.12557419414601126,abcd_sleep_risk,site10,0.12557419414601126,0.0806142565374448,1.5577169540437659,0.11936599858734635
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.02234999284697406,0.43514926684101096,0.20639963699701844,abcd_sleep_risk,site11,0.20639963699701844,0.11670899481836353,1.768498112062761,0.07704089435111676
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.04079258188463372,0.30080967210956555,0.13000854511246593,abcd_sleep_risk,site12,0.13000854511246593,0.08714343214137737,1.4918914933433678,0.13579302323859085
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.06065559677212276,0.4027212591177295,0.2316884279449261,abcd_sleep_risk,site13,0.2316884279449261,0.08726164855755274,2.6551002848876712,0.00795455176974724
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.010679658979105444,0.32482500903183625,0.1570726750263654,abcd_sleep_risk,site14,0.1570726750263654,0.08558792551299534,1.8352200276488313,0.06653466511340102
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.14062497679505512,0.23877692133568026,0.049075972270312566,abcd_sleep_risk,site15,0.049075972270312566,0.09678619850273862,0.5070554792884435,0.6121390832576609
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.0033366714266890585,0.3227397137686866,0.16303819259768784,abcd_sleep_risk,site16,0.16303819259768784,0.08148036794438714,2.000950618055216,0.04545367571372086
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.010378262631291324,0.34334230688063677,0.17686028475596405,abcd_sleep_risk,site17,0.17686028475596405,0.08493980720646567,2.08218373189928,0.03737829948272193
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.07885704669075405,0.43311422057554033,0.2559856336331472,abcd_sleep_risk,site18,0.2559856336331472,0.09037172803183324,2.8325853583653595,0.004636486160074344
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.11421382468341601,0.22115055551469043,0.053468365415637216,abcd_sleep_risk,site19,0.053468365415637216,0.0855521378056394,0.6249798869679759,0.532013837410862
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.003154195849611241,0.3306451210346642,0.16374546259252648,abcd_sleep_risk,site20,0.16374546259252648,0.08515288696027434,1.9229584390828378,0.05454410944543007
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.06676576557650907,0.2663972574113015,0.09981574591739623,abcd_sleep_risk,site21,0.09981574591739623,0.0849905670887272,1.1744332263743111,0.24027955078276161
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.09148348096627845,-0.036331546619527394,-0.06390751379290292,abcd_sleep_risk,field_index,-0.06390751379290292,0.014069371006824248,-4.542314916701325,5.699767351512589e-6
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-7.77775057931477e-4,0.0354014974084992,0.017311861175283858,abcd_sleep_risk,sleep_risk,0.017311861175283858,0.009229406241436396,1.875728592112505,0.060752940227416986
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.05246356787267954,-0.010483805083201136,-0.03147368647794034,abcd_sleep_risk,precision_index,-0.03147368647794034,0.010709123160581228,-2.938960174983377,0.0033087790452153826
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-2.171725680457752e-4,0.040665317234023085,0.020224072332988657,abcd_sleep_risk,field_index:sleep_risk,0.020224072332988657,0.010429206582160424,1.9391765014591564,0.05253812367440192
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.01937200916063608,0.012997670995876249,-0.0031871690823799146,abcd_sleep_risk,sleep_risk:precision_index,-0.0031871690823799146,0.008257571468498042,-0.3859693003613354,0.6995364363480405
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.2617269596195348,0.019171697409907595,,abcd_neighborhood_risk,(Intercept),-0.1212776311048136,0.07165782067077613,-1.6924549193591885,0.09062388473565713
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.568881682192058,0.6138594428076286,0.5913705624998433,abcd_neighborhood_risk,baseline_internalising_z,0.5913705624998433,0.011473918524380245,51.54041849288674,0
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.025121518273262134,0.018307872966340014,-0.00340682265346106,abcd_neighborhood_risk,baseline_age_z,-0.00340682265346106,0.011078926336633202,-0.30750476625123646,0.7584724784924612
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.12690223942809992,0.16965154782626907,0.1482768936271845,abcd_neighborhood_risk,sex_z,0.1482768936271845,0.01090543581585947,13.596604127599335,2.406538405349169e-41
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.045810253388287606,0.013243988353748994,-0.016283132517269306,abcd_neighborhood_risk,household_income_z,-0.016283132517269306,0.015064857587254234,-1.0808686655654685,0.279809604104892
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0062546374493123585,0.04234501879002439,0.018045190670356016,abcd_neighborhood_risk,parent_education_z,0.018045190670356016,0.012397871489626722,1.455507155841581,0.14559402197351945
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.05712075944719519,0.010693929631284169,-0.02321341490795551,abcd_neighborhood_risk,neighborhood_risk_z,-0.02321341490795551,0.017299665581244735,-1.3418418291924734,0.1797104810117447
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.015189471232010865,0.34910470967117035,0.1821470904515906,abcd_neighborhood_risk,site2,0.1821470904515906,0.08518245878549988,2.138316891160184,0.032541157109780915
