seed,intervention_trial,adversity_exposure_trials,gamma_at_intervention,delta_c_at_intervention,p_engaged_at_intervention,mean_p_engaged_prior_15,mean_p_engaged_prior_100,order_parameter_z
12037,400,200,6.0,0.0,0.3832315116527508,0.4202276563659131,0.4614356489439811,0.585
12038,400,200,6.0,0.0,0.3980663576737395,0.3931149999363509,0.4471959767952308,0.385
12039,400,200,6.0,0.0,0.4636006646151386,0.4899889385230686,0.6294274533821936,0.725
12040,400,200,6.0,0.0,0.7030816411345471,0.7223419893256842,0.8073088498327217,0.84
12041,400,200,6.0,0.0,0.5595930046673151,0.5745446836799738,0.6663912137633542,0.325
12042,400,200,6.0,0.0,0.49247932471936856,0.5102815013383915,0.5665421224377208,-0.175
12043,400,200,6.0,0.0,0.8014887939687998,0.8193210145331985,0.9024521263889741,0.915
12044,400,200,6.0,0.0,0.49570266140061603,0.5065290949291843,0.6061753616713639,0.07
12045,400,200,6.0,0.0,0.7694030445090091,0.8115212807292651,0.9034447182798188,0.94
12046,400,200,6.0,0.0,0.7855213859224588,0.8042151143734951,0.8661624349399092,0.87
12047,400,200,6.0,0.0,0.7077738419835292,0.8060054286334118,0.9127211839674197,0.935
12048,400,200,6.0,0.0,0.8218390430403822,0.8585898480390028,0.9296027379295658,0.95
12049,400,200,6.0,0.0,0.5397501912545942,0.534338492491559,0.5204959137832685,0.035
12050,400,200,6.0,0.0,0.5468055992233962,0.4718664742975665,0.5911304276942834,0.7
12051,400,200,6.0,0.0,0.4576891976757161,0.4536131871016547,0.47221650533524945,0.28
12052,400,200,6.0,0.0,0.6072934097482723,0.5827238877979113,0.7256949912180839,0.72
12053,400,200,6.0,0.0,0.3639840984228702,0.3904709900169311,0.4014274649904319,-0.145
12054,400,200,6.0,0.0,0.5526335832192745,0.55668775361558,0.7462454727938822,0.825
12055,400,200,6.0,0.0,0.6369394565403758,0.6732480514093614,0.7882553608772866,0.795
12056,400,200,6.0,0.0,0.7873994862871141,0.7988372260008649,0.8685347321999599,0.915
12057,400,200,6.0,0.0,0.5215849014378947,0.5362450050431377,0.5875793949652177,0.32
12058,400,200,6.0,0.0,0.4178945911684346,0.4131211886617657,0.43351788580129447,-0.105
12059,400,200,6.0,0.0,0.6412051929222925,0.6500861418047692,0.7534387395241328,0.36
12060,400,200,6.0,0.0,0.6101226705613639,0.616304949443861,0.5279888641895908,0.785
12061,400,200,6.0,0.0,0.5379503125024153,0.5482133881137637,0.5722571778219447,0.665
12062,400,200,6.0,0.0,0.44958778444518577,0.5012429690355039,0.7699079878211341,0.855
12063,400,200,6.0,0.0,0.7486259859840377,0.7486561311563116,0.8650739886153977,0.91
12064,400,200,6.0,0.0,0.5117912734203164,0.572334888720538,0.7976554249151623,0.785
12065,400,200,6.0,0.0,0.43302127364717824,0.47263116747992806,0.7173357589188726,0.805
12066,400,200,6.0,0.0,0.5166270832160096,0.5305499340827177,0.5412839689907016,0.13
12067,400,200,6.0,0.0,0.5233643362979208,0.5516828055220723,0.6935824227241693,0.75
12068,400,200,6.0,0.0,0.41598873369926,0.41695273514379017,0.42415978028263024,-0.135
12069,400,200,6.0,0.0,0.5274550318932645,0.5169939757187608,0.5786787785289463,0.335
12070,400,200,6.0,0.0,0.3946706730009404,0.4066538771724607,0.5061321436862078,0.31
12071,400,200,6.0,0.0,0.3716360107335336,0.35330797509378103,0.3644245152743642,0.53
12072,400,200,6.0,0.0,0.413253308973179,0.37764500163637044,0.3640769045690452,0.59
12073,400,200,6.0,0.0,0.3913761609427294,0.39738744998350783,0.46380841518296606,0.165
12074,400,200,6.0,0.0,0.46296462821905526,0.45415134619646785,0.47084797171787535,0.035
12075,400,200,6.0,0.0,0.6089086866205233,0.6150110498054878,0.6867307727805865,0.305
12076,400,200,6.0,0.0,0.6890464018398623,0.7186266150236595,0.7873469830013191,0.74
12077,400,200,6.0,0.0,0.5373399627445022,0.5877682671501216,0.7701145474976155,0.77
12078,400,200,6.0,0.0,0.6991041217386005,0.7343779143375045,0.8466007862685109,0.865
12079,400,200,6.0,0.0,0.5466773310457532,0.5408354043327106,0.6233944294543972,-0.305
12080,400,200,6.0,0.0,0.39799032769631704,0.4242866705966825,0.5899405151412692,0.72
12081,400,200,6.0,0.0,0.5131633204636876,0.51000889647877,0.6194795183008269,0.42
12082,400,200,6.0,0.0,0.7322570545337437,0.7771583324215461,0.8756239493095136,0.92
12083,400,200,6.0,0.0,0.5204833369995231,0.5309194797362327,0.6156980598747804,0.285
12084,400,200,6.0,0.0,0.42855514993501265,0.41941982295996305,0.4683657944336683,0.335
12085,400,200,6.0,0.0,0.4646047638908176,0.5278083572726534,0.8075780397127498,0.91
12086,400,200,6.0,0.0,0.7678266287207094,0.7921165073383141,0.8609620718263448,0.9
12087,400,200,6.0,0.0,0.705951558845107,0.740169466612631,0.8246455818431777,0.865
12088,400,200,6.0,0.0,0.7600565855024218,0.7582418336524344,0.8421617429975111,0.855
12089,400,200,6.0,0.0,0.5303607122745534,0.5723566552643452,0.794060572938708,0.9
12090,400,200,6.0,0.0,0.3896813085580348,0.38597285874004084,0.3614866349135747,-0.395
12091,400,200,6.0,0.0,0.5241042799649023,0.5524915643740552,0.6258466973507496,0.52
12092,400,200,6.0,0.0,0.3178442759739152,0.31483779730849226,0.21817328067093442,-0.625
12093,400,200,6.0,0.0,0.6855934118834061,0.6928791314189119,0.7975904022141279,0.855
12094,400,200,6.0,0.0,0.5003794254144088,0.508024841309037,0.5573262501707483,0.6
12095,400,200,6.0,0.0,0.3546093302100847,0.3511389540946545,0.2791090507857012,-0.37
12096,400,200,6.0,0.0,0.4062736885707576,0.4123510895805816,0.3819857303253192,-0.655
12097,400,200,6.0,0.0,0.7011297542954428,0.7158065740867291,0.8545201243327896,0.905
12098,400,200,6.0,0.0,0.5724506900587305,0.5429659792015572,0.6601794301852912,0.825
12099,400,200,6.0,0.0,0.5271325532344762,0.5675996521480756,0.7294382132405878,0.87
