seed,fold_loss_trial,transition_trial,fold_to_transition_lag,maximum_one_trial_decline,maximum_ten_trial_decline,smoothed_80_to_20_duration
559,310,318,8,0.023782918303848155,0.11144319608458159,96.0
560,310,,,0.027129819969072266,0.0621277486863403,nan
561,310,516,206,0.024598177764360463,0.08569025592171964,nan
562,310,,,0.02328167038246054,0.054861705970498664,nan
563,310,408,98,0.021200935091662543,0.08991794478883153,nan
564,310,540,230,0.02455797818552008,0.06621245822691474,nan
565,310,,,0.0267933853071064,0.04569312856903307,nan
566,310,,,0.025474665164402666,0.02181924583702821,nan
567,310,478,168,0.021842438172212986,0.09619128760497808,nan
568,310,,,0.02709460155692478,0.040449734123560455,nan
569,310,,,0.025930654150747467,0.042856096784083864,nan
570,310,515,205,0.027546665532562797,0.07445916915658335,nan
571,310,477,167,0.024083785521833212,0.07524765073318262,nan
572,310,538,228,0.017114698633408754,0.08171264188630822,nan
573,310,,,0.023993371472946445,0.052807107094060335,nan
574,310,,,0.02516882377031271,0.03198831951064329,nan
575,310,500,190,0.024432604689607174,0.09137580939533163,nan
576,310,,,0.02429876392138952,0.03946294718103216,nan
577,310,,,0.024749923222795678,0.02884445102872124,nan
578,310,,,0.027181920974040708,0.01609056956855881,nan
579,310,347,37,0.022840485128919896,0.12426252936260684,160.0
580,310,507,197,0.028267463024648443,0.0764129244627964,nan
581,310,538,228,0.02262740410830144,0.07452378490962586,nan
582,310,,,0.02575288773430562,0.037323644907968245,nan
583,310,471,161,0.02159582727505094,0.08828026011209422,nan
584,310,471,161,0.025727765159845428,0.09410510957706086,nan
585,310,456,146,0.022541953382371527,0.09175797740628278,nan
586,310,,,0.022850859467006268,0.025254856124021674,nan
587,310,,,0.02385116840928836,0.013196337034914185,nan
588,310,,,0.02649243114407185,0.057149503040664684,nan
589,310,,,0.023637750475621888,0.03391456563453277,nan
590,310,,,0.024002079215682537,0.06485732405599565,nan
591,310,541,231,0.020994788798890163,0.07087585294953769,nan
592,310,,,0.024771261221817054,0.062304779194035875,nan
593,310,384,74,0.025760905409659696,0.09566916665061975,nan
594,310,415,105,0.024596886500778292,0.08957327510120194,199.0
595,310,,,0.026211922771521845,0.05491597546492222,nan
596,310,557,247,0.02476586963782923,0.08544601002140317,nan
597,310,438,128,0.023015035633798475,0.0759937560191718,nan
598,310,393,83,0.023955158262126575,0.08610003345249384,nan
599,310,385,75,0.022662159689667227,0.1339231148301141,147.0
