outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,4940,Complete-case analysis,0.0988160636495258,-0.005122082972014892,0.060711679273543824,0.027794798150764466,mcs_prs_cognition_pgi,pc8,0.027794798150764466,0.016794327103458857,1.6550111224783766,0.0988160636495258
Age 17 psychological distress,4940,Complete-case analysis,0.8892854610075298,-0.037413449783036054,0.032447960106582754,-0.002482744838226653,mcs_prs_cognition_pgi,pc9,-0.002482744838226653,0.017821788237147654,-0.13930952411675676,0.8892854610075298
Age 17 psychological distress,4940,Complete-case analysis,0.20305826634365365,-0.056462286945966784,0.011950052191358009,-0.022256117377304388,mcs_prs_cognition_pgi,pc10,-0.022256117377304388,0.017452127330950203,-1.2752667313992503,0.20305826634365365
Age 17 psychological distress,4940,Complete-case analysis,0.3150888265067224,-0.016122429109811855,0.05012772349949054,0.017002647194839342,mcs_prs_cognition_pgi,pc11,0.017002647194839342,0.01690054913502612,1.0060411090194474,0.3150888265067224
Age 17 psychological distress,4940,Complete-case analysis,0.559774416239526,-0.04439167598615767,0.024017753372379956,-0.010186961306888858,mcs_prs_cognition_pgi,pc12,-0.010186961306888858,0.01745138504044327,-0.5837336855086721,0.559774416239526
Age 17 psychological distress,4940,Complete-case analysis,0.16508448837321396,-0.010365629938860237,0.061055229515510526,0.025344799788325146,mcs_prs_cognition_pgi,pc13,0.025344799788325146,0.01821960700366601,1.3910728032292605,0.16508448837321396
Age 17 psychological distress,4940,Complete-case analysis,0.4519436866620453,-0.050872446515210515,0.02263239949469835,-0.014120023510256085,mcs_prs_cognition_pgi,pc14,-0.014120023510256085,0.01875123622701757,-0.7530182724652235,0.4519436866620453
Age 17 psychological distress,4940,Complete-case analysis,0.03180753680473418,-0.0799511515667305,-0.0037966629449150135,-0.041873907255822754,mcs_prs_cognition_pgi,pc15,-0.041873907255822754,0.019427165464748847,-2.1554306175959725,0.03180753680473418
Age 17 psychological distress,4940,Complete-case analysis,0.26804928504087105,-0.05251101151389238,0.014553615852411116,-0.018978697830740635,mcs_prs_cognition_pgi,pc16,-0.018978697830740635,0.017108323307730485,-1.1093254136812467,0.26804928504087105
Age 17 psychological distress,4940,Complete-case analysis,0.5747073190388032,-0.03407405695706772,0.018895175776756,-0.007589440590155863,mcs_prs_cognition_pgi,pc17,-0.007589440590155863,0.013512559370873398,-0.5616582604265968,0.5747073190388032
Age 17 psychological distress,4940,Complete-case analysis,0.24613212474452478,-0.06117006595614635,0.015641895712028227,-0.022764085122059064,mcs_prs_cognition_pgi,pc18,-0.022764085122059064,0.019594888180656782,-1.161735903373553,0.24613212474452478
Age 17 psychological distress,4940,Complete-case analysis,0.1788043302253772,-0.03932314897664581,0.007287144085889107,-0.016018002445378352,mcs_prs_cognition_pgi,pc19,-0.016018002445378352,0.011890380883299724,-1.3471395578148346,0.1788043302253772
Age 17 psychological distress,4940,Complete-case analysis,0.7376733179478329,-0.025985926378637766,0.03670789852190516,0.005360986071633698,mcs_prs_cognition_pgi,pc20,0.005360986071633698,0.01599332267870993,0.3352015199924755,0.7376733179478329
Age 17 psychological distress,4940,Complete-case analysis,1.979074881158872e-21,-0.3486854964049155,-0.23591041376945326,-0.29229795508718437,mcs_prs_cognition_pgi,field_index,-0.29229795508718437,0.028769153733536276,-10.160116553809225,1.979074881158872e-21
Age 17 psychological distress,4940,Complete-case analysis,0.006808036068326279,0.013233066784744063,0.08128885064343243,0.047260958714088246,mcs_prs_cognition_pgi,cognition_pgi,0.047260958714088246,0.017361169351706215,2.722222089806615,0.006808036068326279
Age 17 psychological distress,4940,Complete-case analysis,0.09650690879059534,-0.005752448466956793,0.07107623534359264,0.03266189343831792,mcs_prs_cognition_pgi,precision_index,0.03266189343831792,0.019599154033303427,1.6664950631449666,0.09650690879059534
Age 17 psychological distress,4940,Complete-case analysis,0.822611261366735,-0.049409000989856,0.062182560568542544,0.006386779789343274,mcs_prs_cognition_pgi,field_index:cognition_pgi,0.006386779789343274,0.0284672350914282,0.22435546581291996,0.822611261366735
Age 17 psychological distress,4940,Complete-case analysis,0.11762166388522446,-0.06292794217653402,0.006978359518913714,-0.02797479132881016,mcs_prs_cognition_pgi,cognition_pgi:precision_index,-0.02797479132881016,0.01783324022843055,-1.5686880774595016,0.11762166388522446
