outcome,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|),nobs,missingness_handling
Age 14 MFQ depressive symptoms,0.3190311336571057,-0.19313595854726,0.06283127183119237,-0.06515234335803381,combined,sampling_stratumNorthern Ireland - Advantaged,-0.06515234335803381,0.06529776285164601,-0.99777297893126,0.3190311336571057,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.03207419056300073,-0.2871627774825032,-0.013374214426742914,-0.15026849595462305,combined,sampling_stratumNorthern Ireland - Disadvantaged,-0.15026849595462305,0.06984402118769395,-2.1514868903495974,0.03207419056300073,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,1.835591164962603e-107,-0.6745131452639572,-0.5954629557920124,-0.6349880505279848,combined,field_index,-0.6349880505279848,0.02016586466121043,-31.48826302248279,1.835591164962603e-107,8935,Complete-case analysis on a common comparison sample
Age 14 MFQ depressive symptoms,0.3751642795242254,-0.03923893619146225,0.014771683076808047,-0.012233626557327102,combined,precision_index,-0.012233626557327102,0.013778219201089362,-0.8878960610787686,0.3751642795242254,8935,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.005662914507135922,-0.10266990738626273,-0.017810439170784342,,combined,(Intercept),-0.06024017327852354,0.02164782352435673,-2.7827357891542857,0.005662914507135922,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,1.7750182870203452e-21,-0.16047719848240277,-0.10844324930471849,-0.13446022389356063,combined,baseline_distress_z,-0.13446022389356063,0.013273966626960279,-10.12961895056021,1.7750182870203452e-21,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.7292629610211356,-0.022048779263833133,0.031514259997377905,0.004732740366772386,combined,baseline_age_z,0.004732740366772386,0.013664040627859959,0.3463646292973311,0.7292629610211356,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,2.4854712759282715e-21,-0.16839311211178984,-0.11360222320793159,-0.14099766765986071,combined,sex_z,-0.14099766765986071,0.01397726757751486,-10.087641728107341,2.4854712759282715e-21,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.28856417301669773,-0.015720712405230947,0.052964131738892736,0.018621709666830893,combined,income_quintile_z,0.018621709666830893,0.017521643914317264,1.0627832501272751,0.28856417301669773,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.02988798025512448,0.007822761774173001,0.14728808198817567,0.07755542188117434,combined,sampling_stratumEngland - Disadvantaged,0.07755542188117434,0.035577887809694564,2.179877071286997,0.02988798025512448,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.008535216545240955,0.038990680546890866,0.26241922324824507,0.15070495189756797,combined,sampling_stratumEngland - Ethnic,0.15070495189756797,0.05699707721973322,2.6440821047117082,0.008535216545240955,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.7042267384099196,-0.12148395089300686,0.17990224400451954,0.029209146555756335,combined,sampling_stratumWales - Advantaged,0.029209146555756335,0.07688423339222612,0.37991074719761353,0.7042267384099196,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.9574263826012879,-0.10807888552680539,0.11413525989011289,0.0030281871816537453,combined,sampling_stratumWales - Disadvantaged,0.0030281871816537453,0.056687281994111806,0.05341916343719368,0.9574263826012879,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.5647814965835718,-0.14294824406556292,0.07798964119675575,-0.032479301434403585,combined,sampling_stratumScotland - Advantaged,-0.032479301434403585,0.05636170542406089,-0.5762654126597476,0.5647814965835718,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.13913015641189921,-0.2714126573933023,0.03767495625630678,-0.11686885056849776,combined,sampling_stratumScotland - Disadvantaged,-0.11686885056849776,0.07884888103306353,-1.4821878134135016,0.13913015641189921,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,1.6679025693741084e-5,0.1405024800898527,0.36980090722963865,0.25515169365974566,combined,sampling_stratumNorthern Ireland - Advantaged,0.25515169365974566,0.05849449671933315,4.36197775807882,1.6679025693741084e-5,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,0.016959990780500065,0.026353969197271704,0.2620627160942002,0.14420834264573593,combined,sampling_stratumNorthern Ireland - Disadvantaged,0.14420834264573593,0.06012978237166542,2.398284792623669,0.016959990780500065,8328,Complete-case analysis on a common comparison sample
Age 17 wellbeing,1.858070930645275e-40,0.29627378943851196,0.3848658590321949,0.3405698242353534,combined,field_index,0.3405698242353534,0.02260001775349054,15.069449411505568,1.858070930645275e-40,8328,Complete-case analysis on a common comparison sample
