outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.08041619007179239,0.2482684321890652,,combined,(Intercept),0.08392612105863641,0.08384811792368817,1.0009302908267927,0.31691317081143333,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.07803221532421771,0.3213925745910032,0.12168017963339274,combined,site6,0.12168017963339274,0.10189407906000533,1.194183025705894,0.2324679697433947,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.35381341402564986,0.0837926345117625,-0.13501038975694368,combined,site7,-0.13501038975694368,0.11163419605546233,-1.2093999377204054,0.2265713986590334,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.17278293730630406,0.3255624993342579,0.07638978101397692,combined,site8,0.07638978101397692,0.1271289379185107,0.6008842853933268,0.5479466724509199,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.29173550625145506,0.15832928626037227,-0.06670310999554138,combined,site9,-0.06670310999554138,0.1148124470693437,-0.5809745519599845,0.5612860735739231,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.13195650585729798,0.24362693561105356,0.05583521487687779,combined,site10,0.05583521487687779,0.0958121024153958,0.582757433239517,0.5600851746750423,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.2642530739335432,0.22242059505887662,-0.02091623943733327,combined,site11,-0.02091623943733327,0.12415144617153567,-0.16847358675495444,0.8662181298341325,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.2769020639046031,0.133899470197975,-0.07150129685331405,combined,site12,-0.07150129685331405,0.10479630972004543,-0.6822883080933267,0.49509102616368583,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.18284018549358408,0.22606004510138497,0.021609929803900453,combined,site13,0.021609929803900453,0.10431128331504312,0.20716771107717744,0.835888054957749,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.2930218114785261,0.09219378486758945,-0.10041401330546831,combined,site14,-0.10041401330546831,0.09826928478217233,-1.0218250140728111,0.30691747424064325,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM internalising,-0.4166420841780405,0.027707188289253698,-0.19446744794439338,combined,site15,-0.19446744794439338,0.11335440624165667,-1.7155702578496541,0.08630808047757431,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
