outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 parent-reported internalising,-0.26739867240347504,0.016033554627458785,,base,(Intercept),-0.12568255888800814,0.07230413954870761,-1.7382484553784394,0.0822308902138826,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.19704162199281267,0.1630450859778262,-0.01699826800749324,field,site3,-0.01699826800749324,0.09185885407414257,-0.18504768189001497,0.8531994205759338,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.09162507596116982,0.2403228244781908,0.07434887425851049,field,site4,0.07434887425851049,0.08468058684677567,0.8779919580982619,0.379991835880622,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.12499449357032441,0.22743740269845267,0.051221454564064135,field,site5,0.051221454564064135,0.08990609598693293,0.5697217079863942,0.5688930095387441,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03626865882531374,0.29275126805398477,0.1282413046143355,field,site6,0.1282413046143355,0.08393365481614758,1.5278889605753685,0.12660571254545216,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.0809457315569423,0.31420160360163885,0.11662793602234826,field,site7,0.11662793602234826,0.10080289162208703,1.1569899845689922,0.24733377545369045,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.047023281181287346,0.34735380063103616,0.1501652597248744,field,site8,0.1501652597248744,0.1006063984215111,1.4926014854018161,0.1356069692351895,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.23320765445078556,0.1831874701625339,-0.025010092144125827,field,site9,-0.025010092144125827,0.10622324607482639,-0.23544838882543728,0.8138707331072461,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03585385379806352,0.28093272025061033,0.12253943322627339,field,site10,0.12253943322627339,0.08081290154302904,1.5163350267905793,0.12950022200756825,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.008286557349271362,0.448045507861583,0.2198794752561558,field,site11,0.2198794752561558,0.11641124112521795,1.8888165191851367,0.058976389939737923,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03940289335688829,0.30402503338504855,0.13231107001408013,field,site12,0.13231107001408013,0.08760916498518798,1.5102423363634372,0.1310471354918595,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.06367381917534878,0.4068342641356455,0.23525404165549713,field,site13,0.23525404165549713,0.08754092983681037,2.6873605534467875,0.007226642734332461,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.01573182866567463,0.32071757481043073,0.15249287307237805,field,site14,0.15249287307237805,0.08582892945819015,1.7767071549769464,0.07567947870378428,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.13421163553829563,0.24492739773068012,0.055357881096192246,field,site15,0.055357881096192246,0.09671914114004483,0.572357037538584,0.5671068040157962,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.0010986943571730523,0.31888260364358556,0.15889195464320624,field,site16,0.15889195464320624,0.08162788214305067,1.9465402074839129,0.051647893960647895,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.003374050403489204,0.33708687694075745,0.17023046367212333,field,site17,0.17023046367212333,0.0851308230962419,1.9996337105736048,0.045595846494235176,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.07486156568823871,0.42951519034680147,0.2521883780175201,field,site18,0.2521883780175201,0.09047286343330682,2.7874477323625757,0.0053333060638151575,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.10492551659223318,0.2309051408288236,0.06298981211829521,field,site19,0.06298981211829521,0.0856710860768002,0.73525170512987,0.4622219800254952,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.003784061682644002,0.3380545834964197,0.17091932258953185,field,site20,0.17091932258953185,0.08527309229943258,2.0043757999224003,0.045085648814564734,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.07187139419754482,0.2614690954320529,0.09479885061725404,field,site21,0.09479885061725404,0.08503583919122391,1.1148105495151945,0.26498718471297544,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.09251606200953427,-0.03800434883823841,-0.06526020542388634,field,field_index,-0.06526020542388634,0.013906049278391805,-4.692936442077206,2.7676943670323683e-6,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.263597377962859,0.019038067339764903,,precision,(Intercept),-0.12227965531154703,0.07210087890373057,-1.6959523541289336,0.08995946818974856,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.575416661405671,0.6200782389868302,0.5977474501962506,precision,baseline_internalising_z,0.5977474501962506,0.011393259587030411,52.46500754504885,0,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.017664500484276324,0.025443136080678243,0.0038893177982009595,precision,baseline_age_z,0.0038893177982009595,0.01099684606248841,0.3536757517655812,0.7235973621751404,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.12195980973722152,0.16464043293451736,0.14330012133586945,precision,sex_z,0.14330012133586945,0.010887914080942817,13.161393474502939,6.808800590861875e-39,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.045918789955546935,0.013221562564553615,-0.01634861369549666,precision,household_income_z,-0.01634861369549666,0.015086824622474631,-1.0836351654238998,0.2785807835124734,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.006531771441903145,0.04202082874505495,0.017744528651575903,precision,parent_education_z,0.017744528651575903,0.012385867394632167,1.432643196169377,0.15202466762876288,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.0544247154326985,0.01361704011842205,-0.020403837657138223,precision,neighborhood_risk_z,-0.020403837657138223,0.017357590701816465,-1.175499411620702,0.23985302112372175,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.010947438195363701,0.3476959903516948,0.17932171427352925,precision,site2,0.17932171427352925,0.08590524289702324,2.0874362055932565,0.0369011035181568,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.19510058398864974,0.1669105618637586,-0.014095011062445576,precision,site3,-0.014095011062445576,0.09234978210520621,-0.15262635970692745,0.8786993235968039,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.09228521823115529,0.24051748956269622,0.07411613566577047,precision,site4,0.07411613566577047,0.0848986499474111,0.8729954564846477,0.3827090330513443,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.1319720757883816,0.2207295246461629,0.04437872442889067,precision,site5,0.04437872442889067,0.08997489807003686,0.49323450629914656,0.6218693648692011,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.03620599353215154,0.29414774031586044,0.12897087339185445,precision,site6,0.12897087339185445,0.08427391169592142,1.5303772044806627,0.12598899779095868,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.07506331869916616,0.3208917579395354,0.12291421962018462,precision,site7,0.12291421962018462,0.10100894812211775,1.2168646630354356,0.2237152789768506,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.04356109205710218,0.3511372753740467,0.15378809165847226,precision,site8,0.15378809165847226,0.1006883590385584,1.5273671467779055,0.1267353425441994,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.23547040442766298,0.18070108311967037,-0.027384660653996314,precision,site9,-0.027384660653996314,0.10616619580289116,-0.2579414327404068,0.7964631176038584,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
